route,route_id,origin_destination
1C,1438,CBS TO SECUNDERABAD
1C,1440,SECUNDERABAD TO CBS
1D,1005,CHILKALGUDA TO DILSUKH NAGAR
1DS,1441,MIDANI DEPOT TO SECUNDERABAD
1DS,1442,SECUNDERABAD TO MIDANI DEPOT
1DV,480,NGOS TO RETHI FILE BS
1DV,481,RETHIFILE TO NGOS COLONY
1P/251,788,MSRD 2 TO OLD ALWAL
1P/251,1416,OLD ALWAL TO MSRD 2
1P/25I,722,OLD ALWAL TO MGBS
1P/25I,723,MGBS TO OLDALWAL
1P/25S,1080,SUCHITRA TO KOTI
1P/25S,1081,KOTI TO SUCHITRA
1V,463,NGO COLONY TO RETHIFILE
1V,464,RETHIFILE TO NGOS COLONY
2C,231,BARKAS TO RETHIFILE BUSSTATION
2C,236,RETHIFILE BUSSTATION TO BARKAS
2Z,999,SRIRAM COLONY TO JBS
2Z,1000,JBS TO SRIRAM COLONY
3,1171,AFZULGUNJ TO RAJIVGRUHA KALPA
3,1192,RAJIVGRUHA KALPA TO AFZALGUNJ
3H,1172,AFZULGUNJ TO KUSHAIGUDA
3H,1173,KUSHAIGUDA TO AFZULGUNJ
3HN,1128,AFZULGUNJ TO RAMPALLY
3HN,1195,RAMPALLY TO AFZULGUNJ
3K,1426,KOTI TO KUSHAIGUDA
3K,1427,KUSHAIGUDA TO KOTI
3KN,406,KUSHAIGUDA TO AFZALGUNJ
3KN,407,AFZALGUNJ TO KUSHAIGUDA
5/229,1419,MEDCHAL TO MEHDIPATNAM
5/229,1421,MEHDIPATNAM TO MEDCHAL
5D,1228,DAMMAIGUD TO MEHADIPATTANAM
5K,371,MEHDIPATNAM TO SEUNDERABAD
5K,372,SECUNDERABAD TO MEHDIPATNAM
5K/251,1530,KEYS HIGH SCHOOL TO AIRPORT
5K/251,1531,AIRPORT TO KEYS HIGH SCHOOL
5K/92,997,RAJENDRANAGAR TO SECUNDERABAD
5K/92,1007,SECUNDERABAD TO RAJENDRANAGAR
5M,297,SECUNDERABAD TO MEHDIPATNAM
5M,299,MEHDIPATNAM TO SECUNDERABAD
5M/16M,1063,SECUNDERABAD TO MALKAJGIRI
5M/16M,1064,MEHDIPATNAM TO MALKAJGIRI
5R,212,HAKIMPET DEPOT TO MEHDIPATAM
5R,1082,MEHDIPATNAM TO HAKIMPET DEPOT
5S,1227,MEHADIPATNAM TO DAMMAYIGUDA
6H,1166,ECILXROADS TO TOLICHOWKI
6H,1186,TOLICHOWKI TO ECILXROADS
8A,918,FALKUNAMA TO SECUNDERABAD
8A,922,SECUNDERABAD TO FALKUNAMA DEPO
8C,1342,SECBAD TO CHANDRAYANAGUTTA
8C,1344,CHANDRAYANA GUTTA  TO SECBAD
8R,217,CBS RISALABAZAR
8R,1086,RISALA BAZAR TO CBS
8R/25M,1153,INDRAGANDHI STATUE TO CBS
8R/25S,1105,SUCHITRA TO CBS
8X,1378,SEC BAD TO RANIGUNJ
8X,1386,RANIGUNJ TO SAFILGUDA
9C,913,CBS TO SANATH NAGAR
9C,920,SANATH NAGAR TO CBS
9K,157,JEEDIMETLA AFZALGUNJ
9K,159,AFZALGUNJ TO JEEDIMETLA
9K/272,1217,GANDIMAISAMMA TO CBS
9M,1233,CHANDRAYANA GUTTA TO SANATHNA
9M,1345,SANATHNAGAR TO CHANDRAYANA GUT
9X,110,JEEDIMETLA DEPOT TO CBS
9X,113,CBS TO JEEDIMETLA DEPOT
9X/230,128,DUNDIGAL VILLAGE TO CBS
9X/230,134,CBS TO DUNDIGAL
9X/230X,800,DUNDIGAL TO AFZULGUNJ
9YF,194,BORABANDA CHARMINAR
9YF,200,CHARMINAR TO BORABANDA
10,183,SECUNDERABAD TO SANATH NAGAR
10,184,SANATHNAGAR TO SECUNDERABAD
10/224,1256,MIYAOUR TO SECUNDERABAD
10/224,1258,SECUNDERABAD TO MIYAPUR DEPOT1
10F,196,BORABANDA TO SECUNDERABAD
10F,197,SECUNDERABAD TO BORABANDA
10H,151,SECUNDERABAD TO KONDAPUR
10H,152,KONDAPUR TO SECUNDERABAD
10H/16,1051,CGCL DEPOT TO FLAGSTONE
10H/16,1052,FLAGSTONE TO ECIL X ROAD
10H/16A,1183,KONDAPUR TO CGCL DEPOT
10H/16A,1185,KONDAPUR TO CHERLAPALLY
10H/17H,131,KONDAPUAR TOECIL X ROAD
10H/17H,1167,ECILXROADS TO KONDAPUR
10H/219,1252,SECUNDERABAD TO PATANCHERU
10H/219,1253,PATANCHERU TO SECUNDERABAD
10H/224,810,SECUNDERABAD TO MIYAPUR2 DEPOT
10H/25I,204,OLD ALWAL TO KONDAPUR
10H/25I,205,KONDAPUR TO OLD ALWAL
10H/25S,1134,SUCHITRA TO KONDAPUR
10H/25S,1135,KONDAPUR TO SUCHITRA
10H/A,897,LINGAMPALLY TO ALLWYN
10H/L,1246,SECUNDERABAD TO LINGAMPALLI
10H/L,1248,LINGAMPALLI TO SECUNDERBAD
10H/U,895,HCU MAIN GATE TO SECUNDERABAD
10H/W,1255,SECUNDERABAD TO WAVEROCK
10H/W,1257,WAVEROCK TO SECENDRABAD
10K,1341,KUKATPALLY TO SECUNDERABAD
10K,1376,SAFILGUDA TO KUKATPALLY
10KH,877,ALLWYN X ROAD TO MYTRIVANAM
10KH,878,MYTHRIVANAM TO ALLWYNXROAD
10KJ,129,JAGADGIRI GUTTA TO SECUNDERABA
10KJ,130,SECUNDERABAD TO JAGADGIRIGUTTA
10KM,812,SECUNDERABAD TO NIZAMPETXROADS
10KM,813,SECUNDERABADTOMALAYSIANTOWNSHI
10KM,839,NIZAMPET X ROAD TO SECUNDERABA
10L,409,KPHB IV TO SECUNDERABAD
10L,410,SECUNDERABAD TO KPHB 4TH PHASE
10YF,192,BORABANDA TO SECUNDERABAD
10YF,195,SECUNDERABAD TO BORABANDA
11W,1238,ESI TO WAVEWROCK
11W,1331,WAVE ROCK TO ESI
12,91,KONDAPUR TO RAMNAGAR GUNDU
12,92,RAMNAGAR TO KONDAPUR
12RM,341,RAMNAGAR TO VBIT PARK
16A,1065,SECUNDERABAD TO ECILXROADS
16A,1387,ECILXROADS TO SECUNDERABAD
16A/10H,1179,FLAG STONE TO CHERLAPALLY
16A/219,1332,ECIL X ROAD TO PATANCHERUVU
16A/219,1335,PATANCHERU TO ECIL X ROADS
16A/47L,1068,ECIL X ROAD TO WAVEROCK
16A/47L,1546,WAVEROCK TO ECIL X ROADS
16A/47V,1075,ECIL TO VBIT
16A/49M,896,MEHDIPATNAM TO ECIL X ROAD
16A/49M,901,ECIL X ROAD TO MEHDIPATNAM
16C/29R,1279,ECILXROADS TO APURUPA COLONY
16C/29R,1338,APURUPA COLONY TO ECILXROADS
16H,1542,ECIL X ROAD TO SECUNDERABAD
16H,1543,RETHIFILE TO ECIL X ROADS
16H/47L,1544,ECIL X ROADS TO WAVE ROCK
16H/47L,1545,WAVEROCK TO ECIL X ROAD
16H/47V,1550,ECIL X ROADS TO VBIT
16M,1551,MALKAJGIRI TO SECUNDERABAD
16M/5M,1552,MALKAJGIRI TO MEHDIPATNAM
17D,1204,DAMMAYIGUDA TO SECENDRABAD
17H,1221,CHERLAPALLY TO MEHDIPATNAM
17H,1229,MEHDIPATNAM TO CHERLAPALLY
17H/47LI,1066,ECIL X ROADS TO FLAG STONE
17H/49M,280,KUSHAIGUDA TO MEHDIPATNAM
17H/49M,282,MEHDIPATNAM TO KUSHAIGUDA
17HN,1188,ECIL X ROADS TO SECUNDERABAD
17HN,1547,SECUNDERABAD TO ECIL X ROAD
17HN/47LI,1548,FLAGSTONE TO ECIL X ROADS
17S,1203,SECNDERABAD TO DAMMAYIGUDA
18/30,270,UPPAL X ROAD TO JAGADGIRI GUTT
18/30,271,JAGADGIRIGUTTA UPPALXROAD
18C,1164,CHOWDARIGUDA TO JBS
18C,1181,JBS TO CHOWDARIGUDA
19/224,847,MEHDIPATNAM TO MIYAPUR DEPOT 1
19K,605,MEHDIPATNAM TO KPHB TEMPLESTOP
19K,606,KPHB TEMPLESTOP TO MEHDIPATNAM
19K/224,1495,KPHB COLONY TO MIYAPUR2 DEPOT
19K/288,1494,MIYAPUR 2 DEPOT TO BALAJITEMPL
19M,248,KPHB 4TH PHASE TO MEHDIPATANAM
19M,264,MEHDIPATANAM TO KPHB 4TH PHASE
19M/288,675,MIYAPUR 2 DEPOT TO MEHDIPATNAM
19M/288,1562,MIYAPUR 1 TO MEHDIPATNAM
20P,321,SECUNDERABAD TO AFZALGUNJ
20P,322,AFZALGUNJ TO SECUNDERABAD
20X/251,323,SECUNDERABAD TO RGI AIRPORT
20X/251,324,RGI AIRPOT TO RETHIFILE BSTN
21/107J,225,VENKATAPURAM TO SAROOR NAGAR
21/107J,227,SAROORNAGAR TO VENKATAPURAM
21/107S,1091,SAROOR NAGAR TO HAKIMPET
21W/107,220,WEST VENKATAPURAM TO SAROOR
21W/107,224,SAROORNAGAR WESTVENKATAPURAM
21W/107J,1092,WEST VENKATAPURAM TO DSNR
21W/107J,1093,DSNR TO WEST VENKATAPURAM
22/90L,1112,LB NAGAR TO HAKIMPET
22/90L,1113,HAKIMPET DEPOT TO KESHAVAGIRI
23K,643,VBIT TO MIYAPUR2
24B,288,SECUNDERABAD TO BALAJINAGAR
24B,291,BALAJINAGAR TO SECUNDERABAD
25HA,1122,HAKIMPET TO INDHIRA STATUE
25S,620,SECUNDERABAD To  SUCHITRA
25S,625,SUCHITRA To SECUNDERABAD
29R,1212,APURUPA COLONY TO SECNDRBADBAD
29R,1214,SECUNDERABAD TO APURUPA COLONY
29R/272,111,GANDIMISAMMA TO SECUNDERABAD
29R/272,112,SECUNDERABAD TO GANDIMAISAMMA
30,756,JAGATHGIRIGUTTA TO SECUNDERABA
30,757,SECUNDERABAD TO JAGATHGIRIGUTA
31X,1319,PRASHANT NAGAR TO JNTU
38H,1384,HANPET TO SEC BAD
38S/47,1518,VBIT TO MYTRIVANAM
38S/47V,304,SAFIL GUDA TO VBIT PARK
38S/47V,305,VBIT  PARK TO SAFILGUDA
38X,1359,SECU NDERABAD TO HANUMANPET
38X,1377,SECUNDERABAD TO SAFILGUDA
38X/10,1358,HANUMANPET TO SANATHNAGAR
40,148,SECUNDERABAD TO KOTI
40,709,KOTI TO SECUNDERABAD
45F,105,MGBS TO BORABANDA
45F,664,MGBS TO BORABANDA
45H,740,MGBS TO ALLWYN X ROADS
45H,741,ALLWYN X ROADS TO MGBS
45HA,107,KOTI TERMINAL ALWYN X ROADS
45HA,108,ALLWYN X ROAD TO KOTI
45K,109,KOTI TERMINAL TO SANATH NAGAR
45K,116,SANATNAGAR TO KOTI
45KM,117,KOTI TERMINAL TO KUKATPALLY
45KM,778,MGBS TO KUKATPALLY
45KM,779,KUKATPALLY TO MGBS
45KMG,731,MGBS SANATHNAGAR
45KMG,732,SANATHNAGR TO MGBS
45MF,119,RAMNAGAR TO BORABANDA
45MF,724,BORABANDA TO RAMNAGAR GUNDU
47,77,SECUNDERABAD TO FILMNAGAR
47,78,FILM NAGAR TO SECUNDERABAD
47H/90L,1057,LB NAGAR TO WAVE ROCK
47L,1126,SECUNDERABAD TO KONDAPUR
47L,1127,KONDAPUR TO SECUNDERABAD
47L/M,1022,FILM NAGAR TO SECUNDERABAD
47L/M,1023,FLAGSTONE TO SECUNDERABAD
47LI,1056,WAVEROCK TO SECUNDERABAD
47LI,1058,SECUNDERABAD TO WAVEROCK
47LI/90LF,1024,FLAGSTONE TO LB NAGAR
47LI/90LF,1060,LBNAGAR TO FLAGSTONE TOWERS
47V,1352,SECUNDERABAD TO VBIT
47V,1353,VBIT TO SECUNDERABAD
47Y,1062,SECUNDERABAD TO FILM NAGAR
47Y/90D,317,FILM NGR TO DSNR
47Y/90D,319,DILSUKHNAGAR TO FILMNAGAR
47Y/F,1021,FILMNAGAR TO SECUNDERABAD
49A/251,1532,PRAYAKAT BHAVAN TO SHAMSHABAD
49M,66,SECUNDERABAD TO TOLICHOWKI
49M,67,TOLICHOKI TO SECUNDERABAD
49M/16A,1220,CHERLAPALLY TO MEHDIPATNAM
49M/16A,1230,MEHDIPATNAM TO CHERLAPALLY
49M/250,1190,TOLICHOWKI TO CGCL DEPOT
49M/250,1191,TOLICHOWKI TO CHERLAPALLY
49M/251,339,SECUNDERABAD TO RGI AIRPORT
49M/251,342,RGI AIRPOT TO SECUNDERABAD
49Z,181,SECUNDERABAD ZOOPARK
49Z,182,ZOOPARK SECUNDERABAD
83J,156,KACHIGUDA TO APURUPA COLONY
83J,165,APURUPA COLONY TO KACHIGUDA
85U,915,FALKUNAMA TO UPPUGUDA
85U,923,UPPUGUDA TO FALKUNAMA DEPOT
90D,1020,DILSUKHNAGAR TO SECUNDERABAD
90D,1549,SECUNDERABAD TO DILSUKH NAGAR
90DS,822,UPPAL DEPOT TO SNEHAPURI
90L,445,JBS TO LB NAGAR
90L,447,LB NAGAR TO JBS
90L/229,306,LB NAGAR TO MEDCHAL DEPOT
90L/229,309,MEDCHAL DEPOT TO LB NAGAR
90L/251,1536,SECUNDERABAD TO SHAMSHABAD
90L/251,1537,SHAMSHABAD TO SECUNDERABAD
90L/25S,1103,SUCHITRA TO LB NAGAR RINGROAD
90L/25S,1104,LBNAGAR RINGROAD TO SUCHITRA
90L/300,476,MEHDIPATNAM TO RETHIFILE
90L/300,477,RETHIFILE TO MEHADIPATNAM
90L/47L,1553,LB NAGAR TO VBIT
92X,930,MEHDIPATNAM TO RJNR
94H,378,HIMAYATH SAGAR TO KOTI
94H,379,KOTI TO HIMAYATH SAGAR
94HX,955,RJNRDEPOT TO RJNR
94HX,956,RJNR TO RJNRDEPOT
94KO,1009,KOTI TO RAJENDRANAGAR
95K,383,RJNR DEPOT TO SRIRAM COLONY
95K,391,SRIRAM COLONY TO RJNR DEPOT
96L,1471,LB NAGAR TO DILSUKH NAGAR
96L,1472,DILSUKH NAGAR TO LB NAGAR
100DV,1464,NGOSCOLONY TO KOTI WOMENS CLG
100DV,1465,KOTI WOMENS CLG TO NGOS COLONY
102,237,LAB QUATERS TO RETHI FILE BUS
102,240,RETHI FILE BUS STATION TO LAB
102,1361,LAB QUARTERS TO KOTI WMS CLG
102,1362,KOTI TO LAB QUARTERS
102B,246,BADANGPET TO RETHIFILE BUSSTN
102B,250,RETHI FILE  BADANGPET
102C,1414,SECUNDRERABAD TO BALAPUR
102C,1415,BALAPUR TO SECUNDERABAD
102D,1393,KOTI WOMENS COLLEGE TO MIDANI
102D,1394,MIDANI DEPOT TO KOTI WMNS CLG
102F,1396,FAROOQ NAGAR TO SECUNDERABAD
102F,1397,SECUNDERABAD TO FAROOQ NAGAR
102FN,1402,FAROOQ NAGAR TO KOTI WMS CLG
102FN,1406,KOTI WMNS CLG TO FAROOQ NAGAR
102K,1408,KOTI TO CHANDRAYAN GUTTA
102KD,1409,MIDANI DEPO TO CHADRAYANA GUTA
102KS,1410,RETHIFILE TO CHANDRAYANAGUTTA
102KS,1411,CHANDRAYANAGUTTA TO RETHIFILE
102L,1412,LAB QUARTERES TO MIDANI
102L,1413,MIDANI TO LAB QUARTERS
102MD,1478,BALAPUR TO MIDHANI DEPOT
102MD,1479,MIDHANI DEPOT TO BALAPUR
102X,1491,BADANGPET TO MIDANI DEPOT
102X,1492,MIDHANI DEPOT TO BADANGPET
107,980,SAROOR NAGAR TO SECUNDERABAD
107,981,SECUNDERABAD TO SAROOR NAGAR
107J/P,1140,SAROOR NAGAR TO RETHIFILE BSTN
107J/P,1143,SECUNDERABAD TO SAROORNAGAR
107V/P,1139,DILSUKH NAGAR TO SECUNDERABAD
107VR,294,SECUNDERABAD TO L B NAGAR
107VR,296,L B NAGAR TO SECUNDERABAD
107VR,1037,JBS TO SAHARA ESTATE
107VR,1480,DILSUKHNAGAR DP TO RETHIFILE
113/216,96,UPPAL TO LINGAMPALLY
113/216,100,LINGAMPALLY TO UPPAL
113/288,630,UPPAL TO MOINABAD
113/288,631,MOINABAD TO UPPAL BUSSTOP
113A,1130,AG COLONY TO CHENGINCHERL
113A,1133,CHEGICHERLA VILLAGE TO AG CLNY
113A/280,1368,GITHAM TO UPPAL
113A/280,1370,MOTHINAGAR TO GITHAM
113E,1235,ESI TO UPPAL
113E/L,415,LINGAMPALLY TO UPPAL
113E/L,425,UPPAL TO LINGAMPALLY
113I/K,1247,KUKATPALLY TO UPPAL 113I/K
113I/M,394,MEHADIPATNAM TO UPPAL
113I/M,399,UPPAL TO MEHDIPATNAM
113I/M/216,905,LINGAMPALLY RO UPPAL VIA MP
113I/M/216,908,UPPAL TO LINGAMPALLY VIA MP
113IM/216,769,UPPAL DEPOT TO INFOSYS
113IMU/216,783,INFOSYS TO UPPAL
113IMU/216,784,INFOSYS TO UPPAL DEPOT
113IY/K,790,HSBC TO UPPAL DEPOT
113IY/K,791,HSBC TO UPPAL BUS STOP
113J,869,JNTU TO UPPAL
113K,1557,UPPAL TO MIYAPUR 2 DEPOT
113K I/KP,689,UPPAL TO KPHB COLONY
113K I/KP,728,UPPAL TO KPHB TEMPLE STOP
113K Y/F,634,KPHB TEMPLE STOP TO UPPAL
113K/225,1347,UPPAL TO ESI
113K/255L,267,LINGAMPALLY TO UPPAL
113K/255L,269,UPPAL LINGAMPALLY
113K/L,633,UPPAL TO LINGAMPALLY
113K/L,710,UPPAL DEPOT TO LINGAMPALLY
113K/Y,1132,BORABANDA TO CGCL DEPOT
113K/Y,1182,KONDAPUR TO CGCL DEPOT
113KYH,1180,INFOTECH TO UPPAL
113M,366,UPPAL TO MEHADIPATNAM
113M,367,MEHDIPATNAM TO UPPAL
113VB,637,VBIT TO UPPAL
113VB,638,UPPAL BUSSTOP TO VBIT
113Y/F,636,BODUPPAL TO BORABANDA
113Y/K,697,KONDAPUR TO UPPAL
113Y/K,708,UPPAL DEPOT TO KONDAPUR
113YF,283,BORABANDA TO BODUPPAL
113YK,396,UPPAL TO KONDAPUR
115,754,KOTI MEDICAL CLG TO UPPAL
115,777,UPPAL TO KOTI MEDICAL CLG
118 X,730,KACHIGUDA TO MEHDIPATNAM
118W,123,KOTI TO WAVEROCK
118W,125,WAVE ROCK TO MGBS
118WQ,368,WAVEROCK TO MEHDIPATNAM
118WQ,375,MEHADIPATNAM TO WAVEROCK
1202K,1407,CHANDRAYANA GUTTA TO KOTI
126/300,1280,HAYATNAGAR TO JNTU
126/300,1283,JNTU TO HAYATNAGAR
126M,256,MEHADIPATNAM TO JNTU
126M,259,JNTU TO MEHADIPATNAM
127J/222,1033,DILSUKH NAGAR TO PATANCHERU
127JK,639,LINGAMPALLY TO DILSUKH NAGAR
127JK,640,DILSUKH NAGAR TO LINGAMPALLY
127K,1,KOTI TO KONDAPUR
127K,2,127K KONDAPUR TO KOTI
127K/222,1327,KONDAPUR TO LINGAMPALLY
127K/222,1328,LINGAMPALLY TO KONDAPUR
127KA,1469,SAI NAGAR TO ALLWYN X ROADS
127KD,1324,DILSHUKNAGAR TO KONDAPUR
127KD,1329,KONDAPUR TO DILSHUKNAGAR
127KH,1456,HAYATNAGAR TO KONDAPUR
127KL,1325,KONDAPUR TO LINGAMPALLY
127KL,1326,LB NAGAR TO KONDAPUR
127KV,23,KONDAPUR NGOS
127KV,24,NGOS KONDAPUR
127VB,11,KOTI TO VBIT
127VB,12,VBIT TO KOTI
136H,149,NAMPALLY STATION T ECIL X ROAD
136H,150,ECIL BUSSTATION TO NAMPALLY
147,1523,LINGAMPALLY TO ECIL X ROAD
147,1524,ECIL X ROAD TO ALLWYN X ROAD
156/118,1455,WIPRO CIRCLE TO NGOS COLONY
156/204,1459,MEHDIPATNAM TO SANGHI NAGAR
156/204,1460,SANGHI NAGAR TO MEHDIPATNAM
156/288,581,NGOS COLONY TO CHILKUR
156/288,582,CHILKUR TO NGOS COLONY
156/299,461,HYT NAGAR TO MEHDIPATNAM
156/299,462,MEHDIPATNAM TO HYT-1
156L,1287,LBNGARRINGROAD TO MEHDIPATNAM
156L,1288,MEHDIPATNAM TO LBNAGAR
156V,458,MEHDIPATNAM TO NGO COLONY
156V,467,NGO S TO MEHDIPATNAM
156V/118,1451,NGOS TO WIPRO CIRCLE
156V/118,1453,DILSUKHNAGAR TO WIPRO CIRCLE
158,1488,DILSUKHNAGAR DEPOT SANATHNAGAR
158,1489,SANATHNAGAR TO DILSUKHNAGAR DE
158/272G,1211,LB NAGAR TO GANDIMYSAMMA XROAD
158D/L,976,DILSUKH NAGAR TO SANATH NAGAR
158D/L,978,SANATH NAGAR TO DILSUKH NAGAR
158FB,1322,BNREDDY NAGAR TO BORABANDA
158FV,563,BORABANDA TO NGOS COLONY
158FV,564,NGO COLONY  TO BORABANDA
158J/L,928,LB NAGAR TO BANDLAGUDA DEPOT
158J/L,931,BUNDLAGUDA DEPOT TO LB NAG
158VJ,579,NGOS COLONY TO JEEDIMETLA DEPOT
158VJ,580,JEEDIMETLA TO NGOS COLONY
171,189,SECUNDERABAD GAJULARAMARAM
171,190,GAJULARAMARAM TO SECUNDERABAD
171M,175,GAJULARAMARAM TO CBS
171M,177,CBS TO GAJULARAMARAM
186,834,NGOS TO KPHB
186,1295,HAYAT NAGAR TO KUKATPALLY
186/224,796,MIYAPUR2BUSDEPOTTO NGOS COLONY
187,411,KPHB IV PHASE TO CBS
187,412,CBS TO KPHB IV PHASE
187D,1461,NGOS COLONY TO KPHB  MAIN ROAD
187D/L,1242,KPHB TEMPLE BUS STOP TO LB NAG
187DL,562,LB NAGAR TO KPHB
187DM,1330,KPHB MAIN ROAD TO NGOS COLONY
187DV,1503,KPHB 4TH PHASE TO NGOS COLONY
187DV,1505,NGOS TO KPHB 4TH PHASE
187LB,848,LB Nagar TO MIYAPUR 2 DEPOT
188,1016,RAJENDERA NAGAR TO SECUNDERAB
189,885,JEEDIMETLA TO KALIMANDIR
189M,174,APURUPA COLONY TO MEHDHIPATNAM
189M,178,MEHDIPATNAM TO APURUPA COLONY
189MA,887,KALIMANDIR TO JEEDIMETLA
190R,1417,AG COLONY TO RAMNAGAR
190R,1437,RAMNAGAR TO AG COLONY
190RK,351,RAMNAGAR GUNDU TO KPHB TEMPLE
190RK,352,KPHB TEMPLE TO RAMNAGARGUNDU
201KH,1458,HAYATNAGAR TO KUNTLOOR
216/113M,719,GITAM UNIVERSITY TO UPPAL
216/113M,776,UPPAL TO GITAM UNIVERSITY
216D,1296,DILSUKNAGAR TO LINGAMPALLY
216D,1297,LINGAMPALLY TO DILSUKNAGAR
216H,1298,HAYATNAGAR TO LINGAMPALLY
216H,1299,LINGAMPALLY TO HAYATNAGAR
216L,1002,LINGAMPALLY TO MGBS
216L,1306,LB NAGAR TO LINGAMPALLY
216L/W,360,LINGAMPALLY TO WAVEROCK
216L/W,361,WAVEROCK TO LINGAMPALLY
216M,889,LINGAMPALLY TO MEHDIPATNAM
216M,892,MEHDIPATNAM TO LINGAMPALLY
217,991,LINGAMPALLY TO L B NAGAR
217,993,LB NAGAR TO LINGAMPALLY
217A,364,KOTI MEDICAL CLG  PATANCHERU
217A,369,PATANCHERU TO KOTI MEDICAL COL
217AD,1372,PATANCHERU TO MIDANI DEPOT
217D,1486,DILSUKHNAGAR DEPOT TO GITHAM
217D,1487,GITHAM TO DILSUKHNAGAR DEPOT
217D/A,79,PATANCHERU TO DILSUKNAGAR
217D/A,99,DILSUKHNAGAR TO PATANCHERU
217D/L,975,DILSUKH NAGAR TO LINGAMPALLY
218,404,KOTI MEDICAL COLLEGE TO PTC
218,405,PATANCHERU TO KOTI MEDICAL CLG
218/224,1510,MYTHRIVANAM TO MIYAPUR2BUSDEPO
218BL,1490,BADANGPET TO LINGAMPALLY
218BL,1493,LINGAMPALLY TO BADANGPET
218C,235,PATANCHERU TO CBS
218C,238,CBS TO PATANCHERU
218D,85,DILSUKHNAGAR TO PATANCHERU
218D,98,PATANCHERU TO DILSUKHNAGAR
218DV,459,NGOS COLONY TO LINGAMPALLY
218DV,460,LINGAMPALLY TO NGOS COLONY
218H,1354,LINGAMPALLY TO HAYAT NAGAR
218KL,1449,LINGAMPALLY TO KUKATPALLY
218L,88,LINGAMPALLY TO DILSUKHNAGAR
218L,89,DILSUKHNAGAR TO LINGAMPALLY
218M,1450,LINGAMPALLY TO MIDANI DEPOT
218MD,1454,MIDHANI DEPOT TO PATANCHERU
218MD,1475,PATANCHERU TO MIDHANI DEPOT
219,75,SECUNDERABAD TO PATANCHERU
219,76,PATANCHERU TO SECUNDERABAD
219/229,314,MEDCHAL DEPO TO PATANCHERU
219/229,318,PATANCHERU TO MEDCHAL
222A,15,KOTI TO PATANCHERU
222A,16,PATANCHERU TO KOTI 222A
224,694,UPPAL TO MIYAPUR2 DEPOT
224/226,678,MIYAPUR2 DEPOT TO SECUNDERABAD
224/226,861,SECUNDERABD TO  MIYAPUR2 DEPOT
224G,863,MIYAPUR X ROAD TO MLR COLLEGE
225C,1304,CBS TO LINGAMPALLY
225L,573,LB NAGAR TO LINGAMPALLY
225L,574,LINGAMPALLY TO LB NAGAR
225L/299,1309,LINGAMPALLY TO HAYAT NAGAR
225L/299,1310,HAYAT NAGAR TO LINGAMPALLY
225LV,1571,NGOS COLONY TO BHEL
225LV,1573,BHEL TO NGOS COLONY
225V/L,1311,LINGAMPALLY TO NGOS COLONY
225V/L,1312,NGOS COLONY TO LINGAMPALLY
226,711,LINGAMPALLY TO SECUNDERABAD
226,1116,SECENDRBAD TO LINGAMPALLY
226L/229,1404,LINGAMPALLI TO MEDCHAL
226L/229,1405,MEDCHAL TO LINGAMPALLI
229,310,MEDCHAL DEPO TO SECUNDERABAD
229,313,SECUNDERABAD TO MEDCHEL
230D/189,1499,DUNDIGAL TO MEHADIPATTNAM
230D/189,1500,MEHADIPATTNAM TO DUNDIGAL
230X,162,JEEDIMETLA TO DUNDIGAL
250C,1239,AFZALGUNJ TO CHENGIRCHARL
250E,1178,ECIL TO CHERLAPALLY
250E,1222,CHERLAPALLY TO ECIL X ROADS
251X,1436,AIRPORT TO JBS
251X,1448,JBS TO AIRPORT
252,381,DILSUKNAGAR TO AIRPORT
252,382,AIRPORT TO DILSUKHNAGAR
253M,647,MAHESWARAM TO SECUNDERABAD
253M,649,SECUNDERABAD TO MAHESWARAM
277,103,IBRAHIMPATNAM TO MGBS
277,104,MGBS TO IBRAHIMPATNAM
279,329,IBRAHIMPT TO JBS
279,330,JBS TO IBRAHIMPATNAM
281,327,ECIL TO GHATKESHAR
281,328,GHATKESAR TO ECIL
288D,258,MEHDHIPATNAM TO CHILKUR
288D,260,CHILKUR TO MEHDIPATNAM
290,488,HYT NAGAR TO JBS
290,489,JBS TO HYT NAGAR
299D,1313,HAYAT NAGAR TO DILSUKH NAGAR
299D,1314,DILSHUKNAGAR TO HYT NAGAR
299M,571,HAYAT NAGAR TO MEHDIPATNAM
299M,572,MEHDIPATNAM TO HAYAT NAGAR
300,90,MEHADIPATNAM TO UPPAL
300,101,UPPAL X ROADS TO MEHADIPATNAM
589,1424,SECUNDERABAD TO RAMAYANPET
589,1428,RAMAYANPET TO Secunderabad
CHEVELLA,273,MEHDIPATNAM TO MSRD2 DEPOT
CHEVELLA,274,MEHDIPATNAM TO CHEVELLA
CHEVELLA,275,CHEVELLA TO MEHDIPATANAM